56 66  0  0  0  0  0  0  0  0 46 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56
55 65  0  0  0  0  0  0  0  0 45 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55
54 64  0  0  0  0  0  0  0  0 45 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55
51 51 51 51 51 51 51 51 51 51  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  0 50 50 50 50 50 50 50 50  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0 31  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
52 62 34  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
51 61  0  0  0  0  0 31  0  0 42 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52
60 60  0  4  0  0  0  0  0  0 41 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51
71  0  0  0  0  0  0  0  0  0 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40
71  0  0  0 31  0  0  0  0 33  0 71  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
71  0  0  0  0  0  0  0  0  0  0 71  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
71  0  0  0  0  0  0  0  0  0  0 71  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
71  0  0  0  0  0  0  0  0  0  0 71  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
71  0  0  0 65  0 45  0  0  0  0 71  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0 64  0 44  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
51 51 51 51 61  0 41 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 45 55
50 50 50 50 60  0 40 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 45 56
88 83  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 45 55
88 83  0  0  0  0  0  0  0  0  0  0 32  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 45 56
88 83  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 45 55
88 83  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 36 36 36  0  0 34  0  0 45 56
88 83  0  0  0  0  0 34  0  0  0  0  0  0  0  0  0  0  0  0 36 36 36  0  0  0  0  0 45 55
88 83  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 32  0  0  0  0  0 45 56
88 83  0  0  0  0  0  0  0  0  0 35  0  0  0  0  0  0  0 33  0  0  0  0  0  0  0  0 45 55
88 89  0 90 65  0 45 89  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 44 54
80 80 80 80 64  0 44 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 43 53
51 51 51 51 61  0 41 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51
50 50 50 50 60  0 40 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
