1407.5/683.0|Log
899.0/896.5|Log
1545.5/2357.0|Log
1344.0/768.0|Log
1142.5/532.0|Log
2607.5/2967.0|Log
1318.5/1465.0|Log
746.0/808.0|Log
797.0/2932.0|Log
1596.0/585.0|Log
4129.0/193.0|Log
1613.0/704.0|Log
2223.5/1306.0|Log
2515.5/618.0|Log
1480.0/825.0|Log
3265.0/681.5|Log
2525.5/-296.5|Log
849.0/888.0|Log
813.0/3090.0|Log
2999.0/2155.5|Log
890.5/700.5|Log
1828.0/582.5|Log
1600.0/566.5|Log
946.5/866.0|Log
830.5/896.5|Log
859.0/532.0|Log
2678.0/171.0|Log
4340.0/-673.0|Log
1537.0/1244.0|Log
1292.5/626.5|Log
2099.5/1042.5|Log
3864.5/2412.5|Log
1558.5/824.0|Log
386.5/2414.5|Log
3495.5/-760.5|Log
2244.0/-1264.0|Log
4600.5/675.5|Log
1978.0/6960.0|Log
4096.0/420.0|Log
1398.5/2613.0|Log
928.0/847.5|Log
896.0/896.0|Log
629.5/2731.5|Log
3001.0/1678.5|Log
-7.0/-610.5|Log
168.0/2103.5|Log
1329.5/2507.5|Log
1161.0/532.0|Log
694.0/2772.0|Log
1420.0/532.0|Log
765.0/896.5|Log
-186.0/3333.5|Log
1001.0/3967.0|Log
1088.0/896.0|Log
834.5/656.5|Log
821.5/675.0|Log
1357.0/554.0|Log
-42.0/20.0|Log
1063.5/2189.5|Log
3192.5/2482.5|Log
2718.5/3641.5|Log
1210.0/576.5|Log
978.0/681.0|Log
962.5/885.0|Log
2565.5/2072.0|Log
1566.0/532.0|Log
560.5/3176.0|Log
-149.5/2095.5|Log
1852.0/704.0|Log
1558.0/805.5|Log
1340.5/896.0|Log
977.0/756.0|Log
1466.5/558.5|Log
1134.0/877.5|Log
2518.0/-1.0|Log
347.5/3033.5|Log
896.0/704.0|Log
1018.0/777.5|Log
1041.0/600.0|Log
1632.0/604.0|Log
832.0/640.0|Log
1359.0/896.5|Log
912.5/675.0|Log
1646.5/704.0|Log
-563.0/1390.5|Log
2460.5/91.0|Log
1534.0/825.5|Log
1558.0/896.0|Log
2774.0/1822.5|Log
2496.5/-911.0|Log
1227.5/710.0|Log
1522.0/-1306.0|Log
2736.0/715.5|Log
765.0/824.5|Log
1448.5/-724.0|Log
1778.0/532.0|Log
754.5/2738.5|Log
931.0/675.0|Log
1959.5/2003.0|Log
746.0/637.5|Log
1410.5/845.0|Log
-369.0/2787.5|Log
2607.5/602.0|Log
1201.5/605.5|Log
1347.5/762.5|Log
3422.5/3611.0|Log
1280.0/640.0|Log
1457.0/532.0|Log
999.0/785.0|Log
2213.0/2037.5|Log
1304.5/689.5|Log
1070.5/796.5|Log
1208.5/723.0|Log
1101.0/896.0|Log
746.0/896.0|Log
1187.0/824.0|Log
1401.0/532.0|Log
2188.5/1169.0|Log
2192.0/1696.5|Log
1740.5/532.0|Log
-1298.5/487.0|Log
1426.0/696.5|Log
1472.0/832.0|Log
960.0/768.0|Log
746.0/789.5|Log
3747.0/30.5|Log
3515.5/786.0|Log
2114.0/1331.0|Log
1229.5/651.5|Log
2178.5/731.5|Log
2114.0/813.0|Log
1276.5/701.0|Log
1192.0/843.0|Log
921.0/604.0|Log
-1690.5/3100.0|Log
230.0/4391.5|Log
1638.0/632.0|Log
1216.0/704.0|Log
832.0/896.0|Log
1413.5/573.5|Log
977.5/719.0|Log
2905.0/97.0|Log
1759.5/532.0|Log
943.5/896.0|Log
3480.5/196.0|Log
